State Code,County Code,Parameter Name,Units of Measure,Arithmetic Mean
1,3,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.972727
1,3,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.972727
1,3,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.972727
1,3,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.972727
1,27,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),4.16
1,27,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),4.16
1,27,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),4.16
1,27,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),4.16
1,49,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.9
1,49,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.9
1,49,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.9
1,49,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.9
1,55,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.9
1,55,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.9
1,55,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.9
1,55,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.9
1,73,Carbon monoxide,Parts per million,0.30142
1,73,Carbon monoxide,Parts per million,0.302786
1,73,Sulfur dioxide,Parts per billion,2.716129
1,73,Sulfur dioxide,Parts per billion,0.979915
1,73,Sulfur dioxide,Parts per billion,0.993548
1,73,Sulfur dioxide,Parts per billion,0.945887
1,73,SO2 max 5-min avg,Parts per billion,1.251282
1,73,Reactive oxides of nitrogen (NOy),Parts per billion,19.972346
1,73,Nitric oxide (NO),Parts per billion,8.044832
1,73,Nitric oxide (NO),Parts per billion,8.016785
1,73,Nitrogen dioxide (NO2),Parts per billion,22.641935
1,73,Nitrogen dioxide (NO2),Parts per billion,11.252774
1,73,Oxides of nitrogen (NOx),Parts per billion,19.311807
1,73,Ozone,Parts per million,0.0371
1,73,Ozone,Parts per million,0.032172
1,73,Ozone,Parts per million,0.032172
1,73,Ozone,Parts per million,0.032207
1,73,Wind Speed - Resultant,Knots,3.937769
1,73,Wind Direction - Resultant,Degrees Compass,173.973118
1,73,Outdoor Temperature,Degrees Fahrenheit,50.684946
1,73,Relative Humidity ,Percent relative humidity,69.967742
1,73,Solar radiation,Langleys/minute,0.219126
1,73,Barometric pressure,Millibars,997.420833
1,73,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),15.432184
1,73,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),15.432184
1,73,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),15
1,73,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),15
1,73,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),7.932471
1,73,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.009195
1,73,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.917857
1,73,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.917857
1,73,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.917857
1,73,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.917857
1,73,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.74729
1,73,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.716129
1,73,Carbon monoxide,Parts per million,0.375007
1,73,Carbon monoxide,Parts per million,0.382833
1,73,Nitric oxide (NO),Parts per billion,16.8
1,73,Nitrogen dioxide (NO2),Parts per billion,27.353333
1,73,Nitrogen dioxide (NO2),Parts per billion,14.428741
1,73,Oxides of nitrogen (NOx),Parts per billion,31.278074
1,73,Wind Speed - Resultant,Knots,1.859812
1,73,Wind Direction - Resultant,Degrees Compass,166.025538
1,73,Outdoor Temperature,Degrees Fahrenheit,50.303495
1,73,Relative Humidity ,Percent relative humidity,68.630376
1,73,Solar radiation,Langleys/minute,0.142339
1,73,Rain/melt precipitation,Inches (rainfall),0.010444
1,73,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),21.909576
1,73,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),21.633333
1,97,Sulfur dioxide,Parts per billion,1.531034
1,97,Sulfur dioxide,Parts per billion,0.762591
1,97,Sulfur dioxide,Parts per billion,0.765517
1,97,Sulfur dioxide,Parts per billion,0.727805
1,97,SO2 max 5-min avg,Parts per billion,0.848035
1,97,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.34
1,97,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.34
